Shape_Length,Shape_Area,Point_Count,X_Coord,Y_Coord
2000.000000000000000,250000.000000000000000,28,1209982.148600000888109,472799.256699999794364
2000.000000000000000,250000.000000000000000,23,1210482.148600000888109,472799.256699999794364
2000.000000000000000,250000.000000000000000,32,1210982.148600000888109,472799.256699999794364
2000.000000000000000,250000.000000000000000,39,1211482.148600000888109,472799.256699999794364
2000.000000000000000,250000.000000000000000,34,1211982.148600000888109,472799.256699999794364
2000.000000000000000,250000.000000000000000,8,1212482.148600000888109,472799.256699999794364
2000.000000000000000,250000.000000000000000,20,1212982.148600000888109,472799.256699999794364
2000.000000000000000,250000.000000000000000,16,1213482.148600000888109,472799.256699999794364
2000.000000000000000,250000.000000000000000,40,1213982.148600000888109,472799.256699999794364
2000.000000000000000,250000.000000000000000,26,1214482.148600000888109,472799.256699999794364
2000.000000000000000,250000.000000000000000,15,1214982.148600000888109,472799.256699999794364
2000.000000000000000,250000.000000000000000,16,1215482.148600000888109,472799.256699999794364
2000.000000000000000,250000.000000000000000,15,1215982.148600000888109,472799.256699999794364
2000.000000000000000,250000.000000000000000,14,1216482.148600000888109,472799.256699999794364
2000.000000000000000,250000.000000000000000,4,1216982.148600000888109,472799.256699999794364
2000.000000000000000,250000.000000000000000,2,1203482.148600000888109,473299.256699999794364
2000.000000000000000,250000.000000000000000,1,1203982.148600000888109,473299.256699999794364
2000.000000000000000,250000.000000000000000,14,1204482.148600000888109,473299.256699999794364
2000.000000000000000,250000.000000000000000,17,1204982.148600000888109,473299.256699999794364
2000.000000000000000,250000.000000000000000,12,1205482.148600000888109,473299.256699999794364
2000.000000000000000,250000.000000000000000,3,1205982.148600000888109,473299.256699999794364
2000.000000000000000,250000.000000000000000,8,1206482.148600000888109,473299.256699999794364
2000.000000000000000,250000.000000000000000,65,1206982.148600000888109,473299.256699999794364
2000.000000000000000,250000.000000000000000,47,1207482.148600000888109,473299.256699999794364
2000.000000000000000,250000.000000000000000,10,1207982.148600000888109,473299.256699999794364
2000.000000000000000,250000.000000000000000,15,1208482.148600000888109,473299.256699999794364
2000.000000000000000,250000.000000000000000,36,1208982.148600000888109,473299.256699999794364
2000.000000000000000,250000.000000000000000,18,1209482.148600000888109,473299.256699999794364
2000.000000000000000,250000.000000000000000,73,1209982.148600000888109,473299.256699999794364
2000.000000000000000,250000.000000000000000,18,1210482.148600000888109,473299.256699999794364
2000.000000000000000,250000.000000000000000,17,1210982.148600000888109,473299.256699999794364
2000.000000000000000,250000.000000000000000,11,1211482.148600000888109,473299.256699999794364
2000.000000000000000,250000.000000000000000,18,1211982.148600000888109,473299.256699999794364
2000.000000000000000,250000.000000000000000,26,1212482.148600000888109,473299.256699999794364
2000.000000000000000,250000.000000000000000,47,1212982.148600000888109,473299.256699999794364
2000.000000000000000,250000.000000000000000,23,1213482.148600000888109,473299.256699999794364
2000.000000000000000,250000.000000000000000,89,1213982.148600000888109,473299.256699999794364
2000.000000000000000,250000.000000000000000,26,1214482.148600000888109,473299.256699999794364
2000.000000000000000,250000.000000000000000,14,1214982.148600000888109,473299.256699999794364
2000.000000000000000,250000.000000000000000,37,1215482.148600000888109,473299.256699999794364
2000.000000000000000,250000.000000000000000,196,1215982.148600000888109,473299.256699999794364
2000.000000000000000,250000.000000000000000,97,1216482.148600000888109,473299.256699999794364
2000.000000000000000,250000.000000000000000,20,1216982.148600000888109,473299.256699999794364
2000.000000000000000,250000.000000000000000,1,1203982.148600000888109,473799.256699999794364
2000.000000000000000,250000.000000000000000,8,1204482.148600000888109,473799.256699999794364
2000.000000000000000,250000.000000000000000,15,1204982.148600000888109,473799.256699999794364
2000.000000000000000,250000.000000000000000,10,1205482.148600000888109,473799.256699999794364
2000.000000000000000,250000.000000000000000,5,1205982.148600000888109,473799.256699999794364
2000.000000000000000,250000.000000000000000,9,1206482.148600000888109,473799.256699999794364
2000.000000000000000,250000.000000000000000,13,1206982.148600000888109,473799.256699999794364
2000.000000000000000,250000.000000000000000,12,1207482.148600000888109,473799.256699999794364
2000.000000000000000,250000.000000000000000,15,1207982.148600000888109,473799.256699999794364
2000.000000000000000,250000.000000000000000,11,1208482.148600000888109,473799.256699999794364
2000.000000000000000,250000.000000000000000,6,1208982.148600000888109,473799.256699999794364
2000.000000000000000,250000.000000000000000,22,1209482.148600000888109,473799.256699999794364
2000.000000000000000,250000.000000000000000,32,1209982.148600000888109,473799.256699999794364
2000.000000000000000,250000.000000000000000,3,1210482.148600000888109,473799.256699999794364
2000.000000000000000,250000.000000000000000,28,1210982.148600000888109,473799.256699999794364
2000.000000000000000,250000.000000000000000,9,1211482.148600000888109,473799.256699999794364
2000.000000000000000,250000.000000000000000,36,1211982.148600000888109,473799.256699999794364
2000.000000000000000,250000.000000000000000,27,1212482.148600000888109,473799.256699999794364
2000.000000000000000,250000.000000000000000,21,1212982.148600000888109,473799.256699999794364
2000.000000000000000,250000.000000000000000,30,1213482.148600000888109,473799.256699999794364
2000.000000000000000,250000.000000000000000,51,1213982.148600000888109,473799.256699999794364
2000.000000000000000,250000.000000000000000,49,1214482.148600000888109,473799.256699999794364
2000.000000000000000,250000.000000000000000,38,1214982.148600000888109,473799.256699999794364
2000.000000000000000,250000.000000000000000,29,1215482.148600000888109,473799.256699999794364
2000.000000000000000,250000.000000000000000,60,1215982.148600000888109,473799.256699999794364
2000.000000000000000,250000.000000000000000,69,1216482.148600000888109,473799.256699999794364
2000.000000000000000,250000.000000000000000,2,1216982.148600000888109,473799.256699999794364
2000.000000000000000,250000.000000000000000,1,1203482.148600000888109,474299.256699999794364
2000.000000000000000,250000.000000000000000,6,1203982.148600000888109,474299.256699999794364
2000.000000000000000,250000.000000000000000,17,1204482.148600000888109,474299.256699999794364
2000.000000000000000,250000.000000000000000,43,1204982.148600000888109,474299.256699999794364
2000.000000000000000,250000.000000000000000,14,1205482.148600000888109,474299.256699999794364
2000.000000000000000,250000.000000000000000,9,1205982.148600000888109,474299.256699999794364
2000.000000000000000,250000.000000000000000,9,1206482.148600000888109,474299.256699999794364
2000.000000000000000,250000.000000000000000,17,1206982.148600000888109,474299.256699999794364
2000.000000000000000,250000.000000000000000,16,1207482.148600000888109,474299.256699999794364
2000.000000000000000,250000.000000000000000,13,1207982.148600000888109,474299.256699999794364
2000.000000000000000,250000.000000000000000,10,1208482.148600000888109,474299.256699999794364
2000.000000000000000,250000.000000000000000,31,1208982.148600000888109,474299.256699999794364
2000.000000000000000,250000.000000000000000,9,1209482.148600000888109,474299.256699999794364
2000.000000000000000,250000.000000000000000,20,1209982.148600000888109,474299.256699999794364
2000.000000000000000,250000.000000000000000,39,1210482.148600000888109,474299.256699999794364
2000.000000000000000,250000.000000000000000,52,1210982.148600000888109,474299.256699999794364
2000.000000000000000,250000.000000000000000,14,1211482.148600000888109,474299.256699999794364
2000.000000000000000,250000.000000000000000,60,1211982.148600000888109,474299.256699999794364
2000.000000000000000,250000.000000000000000,15,1212482.148600000888109,474299.256699999794364
2000.000000000000000,250000.000000000000000,33,1212982.148600000888109,474299.256699999794364
2000.000000000000000,250000.000000000000000,55,1213482.148600000888109,474299.256699999794364
2000.000000000000000,250000.000000000000000,124,1213982.148600000888109,474299.256699999794364
2000.000000000000000,250000.000000000000000,76,1214482.148600000888109,474299.256699999794364
2000.000000000000000,250000.000000000000000,34,1214982.148600000888109,474299.256699999794364
2000.000000000000000,250000.000000000000000,29,1215482.148600000888109,474299.256699999794364
2000.000000000000000,250000.000000000000000,23,1215982.148600000888109,474299.256699999794364
2000.000000000000000,250000.000000000000000,12,1216482.148600000888109,474299.256699999794364
2000.000000000000000,250000.000000000000000,1,1216982.148600000888109,474299.256699999794364
2000.000000000000000,250000.000000000000000,1,1203982.148600000888109,474799.256699999794364
2000.000000000000000,250000.000000000000000,16,1204482.148600000888109,474799.256699999794364
2000.000000000000000,250000.000000000000000,18,1204982.148600000888109,474799.256699999794364
2000.000000000000000,250000.000000000000000,14,1205482.148600000888109,474799.256699999794364
2000.000000000000000,250000.000000000000000,10,1205982.148600000888109,474799.256699999794364
2000.000000000000000,250000.000000000000000,22,1206482.148600000888109,474799.256699999794364
2000.000000000000000,250000.000000000000000,7,1206982.148600000888109,474799.256699999794364
2000.000000000000000,250000.000000000000000,27,1207482.148600000888109,474799.256699999794364
2000.000000000000000,250000.000000000000000,8,1207982.148600000888109,474799.256699999794364
2000.000000000000000,250000.000000000000000,16,1208482.148600000888109,474799.256699999794364
2000.000000000000000,250000.000000000000000,25,1208982.148600000888109,474799.256699999794364
2000.000000000000000,250000.000000000000000,32,1209482.148600000888109,474799.256699999794364
2000.000000000000000,250000.000000000000000,47,1209982.148600000888109,474799.256699999794364
2000.000000000000000,250000.000000000000000,23,1210482.148600000888109,474799.256699999794364
2000.000000000000000,250000.000000000000000,57,1210982.148600000888109,474799.256699999794364
2000.000000000000000,250000.000000000000000,36,1211482.148600000888109,474799.256699999794364
2000.000000000000000,250000.000000000000000,56,1211982.148600000888109,474799.256699999794364
2000.000000000000000,250000.000000000000000,24,1212482.148600000888109,474799.256699999794364
2000.000000000000000,250000.000000000000000,94,1212982.148600000888109,474799.256699999794364
2000.000000000000000,250000.000000000000000,50,1213482.148600000888109,474799.256699999794364
2000.000000000000000,250000.000000000000000,50,1213982.148600000888109,474799.256699999794364
2000.000000000000000,250000.000000000000000,43,1214482.148600000888109,474799.256699999794364
2000.000000000000000,250000.000000000000000,35,1214982.148600000888109,474799.256699999794364
2000.000000000000000,250000.000000000000000,12,1215482.148600000888109,474799.256699999794364
2000.000000000000000,250000.000000000000000,25,1215982.148600000888109,474799.256699999794364
2000.000000000000000,250000.000000000000000,19,1216482.148600000888109,474799.256699999794364
2000.000000000000000,250000.000000000000000,1,1202982.148600000888109,475299.256699999794364
2000.000000000000000,250000.000000000000000,1,1203482.148600000888109,475299.256699999794364
2000.000000000000000,250000.000000000000000,1,1203982.148600000888109,475299.256699999794364
2000.000000000000000,250000.000000000000000,15,1204482.148600000888109,475299.256699999794364
2000.000000000000000,250000.000000000000000,55,1204982.148600000888109,475299.256699999794364
2000.000000000000000,250000.000000000000000,14,1205482.148600000888109,475299.256699999794364
2000.000000000000000,250000.000000000000000,15,1205982.148600000888109,475299.256699999794364
2000.000000000000000,250000.000000000000000,7,1206482.148600000888109,475299.256699999794364
