OID_,COUNT,SUM_Add1,SHAPE_Length,SHAPE_Area,X_Coord,Y_Coord
194,4.000000000000000,4.000000000000000,2000.000000000000000,250000.000000000000000,1205982.148600000888109,471799.256699999794364
135,64.000000000000000,64.000000000000000,2000.000000000000000,250000.000000000000000,1212482.148600000888109,470799.256699999794364
128,29.000000000000000,29.000000000000000,2000.000000000000000,250000.000000000000000,1208982.148600000888109,470799.256699999794364
214,99.000000000000000,99.000000000000000,2000.000000000000000,250000.000000000000000,1215982.148600000888109,471799.256699999794364
192,16.000000000000000,16.000000000000000,2000.000000000000000,250000.000000000000000,1204982.148600000888109,471799.256699999794364
137,43.000000000000000,43.000000000000000,2000.000000000000000,250000.000000000000000,1213482.148600000888109,470799.256699999794364
176,25.000000000000000,25.000000000000000,2000.000000000000000,250000.000000000000000,1214982.148600000888109,471299.256699999794364
142,11.000000000000000,11.000000000000000,2000.000000000000000,250000.000000000000000,1215982.148600000888109,470799.256699999794364
164,18.000000000000000,18.000000000000000,2000.000000000000000,250000.000000000000000,1208982.148600000888109,471299.256699999794364
161,32.000000000000000,32.000000000000000,2000.000000000000000,250000.000000000000000,1207482.148600000888109,471299.256699999794364
235,36.000000000000000,36.000000000000000,2000.000000000000000,250000.000000000000000,1208482.148600000888109,472299.256699999794364
198,42.000000000000000,42.000000000000000,2000.000000000000000,250000.000000000000000,1207982.148600000888109,471799.256699999794364
199,35.000000000000000,35.000000000000000,2000.000000000000000,250000.000000000000000,1208482.148600000888109,471799.256699999794364
162,56.000000000000000,56.000000000000000,2000.000000000000000,250000.000000000000000,1207982.148600000888109,471299.256699999794364
131,51.000000000000000,51.000000000000000,2000.000000000000000,250000.000000000000000,1210482.148600000888109,470799.256699999794364
133,68.000000000000000,68.000000000000000,2000.000000000000000,250000.000000000000000,1211482.148600000888109,470799.256699999794364
209,35.000000000000000,35.000000000000000,2000.000000000000000,250000.000000000000000,1213482.148600000888109,471799.256699999794364
126,56.000000000000000,56.000000000000000,2000.000000000000000,250000.000000000000000,1207982.148600000888109,470799.256699999794364
197,38.000000000000000,38.000000000000000,2000.000000000000000,250000.000000000000000,1207482.148600000888109,471799.256699999794364
177,47.000000000000000,47.000000000000000,2000.000000000000000,250000.000000000000000,1215482.148600000888109,471299.256699999794364
232,47.000000000000000,47.000000000000000,2000.000000000000000,250000.000000000000000,1206982.148600000888109,472299.256699999794364
226,2.000000000000000,2.000000000000000,2000.000000000000000,250000.000000000000000,1203982.148600000888109,472299.256699999794364
138,41.000000000000000,41.000000000000000,2000.000000000000000,250000.000000000000000,1213982.148600000888109,470799.256699999794364
196,39.000000000000000,39.000000000000000,2000.000000000000000,250000.000000000000000,1206982.148600000888109,471799.256699999794364
213,69.000000000000000,69.000000000000000,2000.000000000000000,250000.000000000000000,1215482.148600000888109,471799.256699999794364
125,35.000000000000000,35.000000000000000,2000.000000000000000,250000.000000000000000,1207482.148600000888109,470799.256699999794364
180,15.000000000000000,15.000000000000000,2000.000000000000000,250000.000000000000000,1216982.148600000888109,471299.256699999794364
170,65.000000000000000,65.000000000000000,2000.000000000000000,250000.000000000000000,1211982.148600000888109,471299.256699999794364
174,56.000000000000000,56.000000000000000,2000.000000000000000,250000.000000000000000,1213982.148600000888109,471299.256699999794364
141,10.000000000000000,10.000000000000000,2000.000000000000000,250000.000000000000000,1215482.148600000888109,470799.256699999794364
143,25.000000000000000,25.000000000000000,2000.000000000000000,250000.000000000000000,1216482.148600000888109,470799.256699999794364
166,62.000000000000000,62.000000000000000,2000.000000000000000,250000.000000000000000,1209982.148600000888109,471299.256699999794364
